date,product_id,product_name,category,stock_level,reorder_point,supplier,unit_cost,stock_value,stock_change,is_suspect,daily_sales,stock_health,is_near_stockout,rolling_avg_sales,days_until_stockout
2024-01-01,P001,Men's Basic T-shirt,Men,200,40,Urban Threads Co.,7.0,1400.0,,False,0,5.0,False,0.0,999.0
2024-01-02,P001,Men's Basic T-shirt,Men,199,40,Urban Threads Co.,7.0,1393.0,-1.0,False,1,4.97,False,0.5,398.0
2024-01-03,P001,Men's Basic T-shirt,Men,195,40,Urban Threads Co.,7.0,1365.0,-4.0,False,4,4.88,False,1.6666666666666667,117.0
2024-01-04,P001,Men's Basic T-shirt,Men,195,40,Urban Threads Co.,7.0,1365.0,0.0,False,0,4.88,False,1.25,156.0
2024-01-05,P001,Men's Basic T-shirt,Men,195,40,Urban Threads Co.,7.0,1365.0,0.0,False,0,4.88,False,1.0,195.0
2024-01-06,P001,Men's Basic T-shirt,Men,195,40,Urban Threads Co.,7.0,1365.0,0.0,False,0,4.88,False,0.8333333333333334,234.0
2024-01-07,P001,Men's Basic T-shirt,Men,192,40,Urban Threads Co.,7.0,1344.0,-3.0,False,3,4.8,False,1.1428571428571428,168.0
2024-01-08,P001,Men's Basic T-shirt,Men,187,40,Urban Threads Co.,7.0,1309.0,-5.0,False,5,4.68,False,1.8571428571428572,100.7
2024-01-09,P001,Men's Basic T-shirt,Men,187,40,Urban Threads Co.,7.0,1309.0,0.0,False,0,4.68,False,1.7142857142857142,109.1
2024-01-10,P001,Men's Basic T-shirt,Men,184,40,Urban Threads Co.,7.0,1288.0,-3.0,False,3,4.6,False,1.5714285714285714,117.1
2024-01-11,P001,Men's Basic T-shirt,Men,184,40,Urban Threads Co.,7.0,1288.0,0.0,False,0,4.6,False,1.5714285714285714,117.1
2024-01-12,P001,Men's Basic T-shirt,Men,180,40,Urban Threads Co.,7.0,1260.0,-4.0,False,4,4.5,False,2.142857142857143,84.0
2024-01-13,P001,Men's Basic T-shirt,Men,175,40,Urban Threads Co.,7.0,1225.0,-5.0,False,5,4.38,False,2.857142857142857,61.2
2024-01-14,P001,Men's Basic T-shirt,Men,175,40,Urban Threads Co.,7.0,1225.0,0.0,False,0,4.38,False,2.4285714285714284,72.1
2024-01-15,P001,Men's Basic T-shirt,Men,174,40,Urban Threads Co.,7.0,1218.0,-1.0,False,1,4.35,False,1.8571428571428572,93.7
